Clarence R. Edwards Middle School,,North,Middle,Monday-Thursday 7:20 a.m. - 4:15 p.m.; Friday 7:20 a.m. - 11:40 a.m.,Universal Free Breakfast,,2:20 p.m.,6 - 8,,,,
John Eliot K-8 School ,,North,K-8,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,K0-8,,,,
David A. Ellis Elementary School ,2,West,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:25 p.m.,K1-5,B,,,
Ellison/Parks Early Education School,,East,Early Childhood,7:30 a.m. - 4:45 p.m.,Universal Free Breakfast,,1:45 p.m.,K0-1,B,,,
Ralph Waldo Emerson Elementary School ,,North,Elementary,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,Universal Free Lunch,1:25 p.m.,K2-5,A,,,
The Engineering School,,Citywide,High,7:45 a.m. - 2:05 p.m.,,,10:45 a.m.,9 - 12,,Hyde Park Education Complex,,
The English High School,,Citywide,High,7:20 a.m. - 2:10 p.m.,Universal Free Breakfast,Universal Free Lunch,10:45 a.m.,9 - 12,,,,
Edward Everett Elementary School ,,East,Elementary,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,,1:25 p.m.,K2-5,A,,,
Excel High School,,Citywide,High,7:20 a.m. - 1:40 p.m.,,,11:45 a.m.,9 - 12,,South Boston Education Complex,,
David G. Farragut Elementary School,13,North,Elementary,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,,1:25 p.m.,K2-5,A,,,
Fenway High School,,Citywide,High,"Mon, Wed, Thurs 8:40 a.m. - 3:30 p.m.; Tues 8:40 a.m. - 2:20 p.m.; Fri 8:40 a.m. - 12:45 p.m.",,,12:00 noon,9 - 12,,,,
Emily A. Fifield Elementary School,,East,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 p.m.,K2-5,B,,,
Lilla G. Frederick Pilot Middle School,,West,Middle,9:15 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,6 - 8,,,,
Gardner Pilot Academy,,North,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 p.m.,K1-5,,,,
Patrick F. Gavin Middle School,,East,Middle,7:20 a.m. - 1:30 p.m.,Universal Free Breakfast,Universal Free Lunch,11:45 a.m.,6 - 8,,,,
Greater Egleston Community High School,,Citywide,High,8:00 a.m.–2:00 p.m. Monday-Thursday; 9:00 a.m.–3:00 p.m. Friday,,,N/A,9 - 12,,,,
Elihu Greenwood Leadership Academy ,,East,Elementary,9:20 a.m. - 3:50 p.m.,Universal Free Breakfast,,1:35 p.m.,K2-5,B,,,
Sarah Greenwood K-8 School,10,East,K-8,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,Universal Free Lunch,1:25 p.m.,K1-8,M,,,
Henry Grew Elementary School ,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 p.m.,K2-5,B,,,
Curtis Guild Elementary School ,,North,Elementary,8:25 a.m. - 2:25 p.m.,Universal Free Breakfast,Universal Free Lunch,12:40 p.m.,K2-5,A,,,
Nathan Hale Elementary School,,West,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 p.m.,K1-5,B,,,
Dennis Haley Elementary School,,West,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 p.m.,K1-5,,,,
The Harbor School,7,East,Middle,"Mon, Tue, Thurs, Fri 7:40 a.m. - 3:20 p.m.; Wed 7:40 a.m. - 12:30 p.m.",Universal Free Breakfast,,1:40 p.m.,6 - 8,T,,,
Harvard/Kent Elementary School ,,North,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 p.m.,K1-5,A,,,
Edward M. Kennedy Academy for Health Careers,,Citywide,High,7:25 a.m. - 2:30 p.m.,,,11:30 a.m.,9 - 12,,,,
James W. Hennigan Elementary School,,West,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 p.m.,K2-5,B,,,
Rafael Hernández K-8 School ,,Citywide,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 p.m.,K1-8,,,,
John P. Holland Elementary School,,East,Elementary,8:35 a.m. - 3:05 p.m.,Universal Free Breakfast,,1:10 p.m.,K2-5,A,,,
Oliver Wendell Holmes Elementary School,,East,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,K1-5,B,,,
Horace Mann School for the Deaf and Hard of Hearing,,Citywide,Elementary/Middle/High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,Universal Free Lunch,11:50 a.m.,K-12,,,,
Joseph J. Hurley K-8 School,,North,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 p.m.,K0-7,,,,
Washington Irving Middle School,,West,Middle,7:20 a.m. - 1:30 p.m.,Universal Free Breakfast,,11:45 a.m.,6 - 8,,,,
Jackson/Mann K-8 School,,North,K-8,7:30 a.m. - 1:30 p.m.,Universal Free Breakfast,Universal Free Lunch,11:45 a.m.,K0-8,,,,
John F. Kennedy Elementary School,,West,Elementary,8:35 a.m. - 3:05 p.m.,Universal Free Breakfast,Universal Free Lunch,12:40 p.m.,K2-5,B,,,
Patrick J. Kennedy Elementary School,,North,Elementary,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,Universal Free Lunch,1:25 p.m.,K1-5,A,,,
Thomas J. Kenny Elementary School,,East,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,K1-5,B,,,
Joyce Kilmer K-8 School,,West,K-8,9:20 a.m. - 3:20 p.m.,,,1:25 p.m.,K0-8,,,,
"Martin Luther King, Jr. K-8 School",,West,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 a.m.,K1-8,,,,
Lee Academy,,East,Elementary,9:25 a.m. - 3:25 p.m.,,,1:30 p.m.,K0-4,,,,
Joseph Lee Elementary School,,East,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,K2-5,B,,,
Higginson/Lewis K-8 School,,West,K-8,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 p.m.,K1-8,,,,
Patrick Lyndon K-8 School,,West,K-8,9:25 a.m. - 3:25 p.m.,,,1:30 AM,K1-8,,,,
Mary Lyon School,,North,Elementary/Middle/High,9:20 a.m. - 3:20 p.m. (8:25 a.m. - 3:40 p.m. for Grades 9-12),,,1:25 AM,K2-10,,,,
Madison Park Technical Vocational High School,13,Citywide,High,7:40 a.m. - 2:00 p.m.,Universal Free Breakfast,Universal Free Lunch,10:45 AM,9 - 12,,,,
Joseph P. Manning Elementary School,,West,Elementary,9:25 a.m. - 3:25 p.m.,,,1:30 p.m.,K1-5,B,,,
John Marshall Elementary School,,East,Elementary,7:30 a.m. - 1:30 p.m.,Universal Free Breakfast,Universal Free Lunch,11:45 a.m.,K1-5,A,,,
Samuel W. Mason Elementary School,,North,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 PM,K0-5,,,,
Mather Elementary School,,East,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 p.m.,K1-5,A,,,
Mattahunt Elementary School,,East,Elementary,7:30 a.m. - 1:30 p.m.,Universal Free Breakfast,Universal Free Lunch,11:45 a.m.,K1-5,B,,,
John W. McCormack Middle School,,East,Middle,9:15 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,6 - 8,,,,
Donald McKay K-8 School,,North,K-8,8:25 a.m. - 2:25 p.m.,Universal Free Breakfast,Universal Free Lunch,12:40 PM,K2-8,,,,
William McKinley Elementary School,,Citywide,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 AM,K-5,,,,
William McKinley Middle School ,,Citywide,Middle,9:25 a.m. - 3:35 p.m.,Universal Free Breakfast,Universal Free Lunch,1:35 AM,6 - 8,,,,
William McKinley Preparatory High School,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,Universal Free Lunch,11:25 AM,9 - 12,,,,
William McKinley Schools ,,Citywide,Elementary/Middle/High,various,,,,K-12,,,,
William McKinley South End Academy,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,Universal Free Lunch,11:25 AM,6 - 12,,,,
Media Communications Technology High School,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,,11:45 AM,9 - 12,,West Roxbury Education Complex,,
Ellis Mendell Elementary School,,West,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:25 AM,K1-5,B,,,
Middle School Academy,,Citywide,Middle,7:30 a.m. - 1:40 p.m.,,,11:50 AM,6 - 8,,,,
Mildred Avenue K-8 School,,East,K-8,7:25 a.m. - 1:25 p.m.,Universal Free Breakfast,,11:40 a.m.,1 - 8,,,,
Mission Hill K-8 School,13,North,K-8,K-Grade 5: 9:30 a.m. - 3:30 p.m.; Grades 6-8: 8:30 a.m. - 3:30 p.m.,,,1:35 AM,K2-8,,,,
Monument High School ,,Citywide,High,7:20 a.m. - 1:40 p.m.,,,11:45 AM,9 - 12,,South Boston Education Complex,,
Wolfgang A. Mozart Elementary School,,West,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:25 p.m.,K1-5,B,,,
Richard J. Murphy K-8 School,,East,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 PM,K2-8,,,,
New Mission High School,13,Citywide,High,7:45 a.m. - 2:30 p.m.,,,12:45 p.m. ,9 - 12,,,,
Dorchester Academy,,Citywide,High,7:50 a.m. - 2:10 p.m.,,,11:45 AM,9 - 12,,Dorchester Education Complex,,
O'Bryant School of Math & Science,13,Citywide,Middle/High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,Universal Free Lunch,10:45 AM,7 - 12,,,,
Hugh R. O'Donnell Elementary School,,North,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,Universal Free Lunch,1:30 AM,K2-5,A,,,
Odyssey High School,,Citywide,High,7:20 a.m. - 1:40 p.m.,,,11:45 AM,9 - 12,,South Boston Education Complex,,
Dr. William W. Henderson Inclusion Elementary School,,East,Elementary,9:25 a.m. - 3:25 p.m.,,,1:30 p.m.,K0-5,B,,,
William Ohrenberger School,,West,K-8,8:35 a.m. - 2:35 p.m.,Universal Free Breakfast,,12:50 p.m.,1 - 7,B,,,
Orchard Gardens K-8 School ,,North,K-8,Grades K1 - 5 and 8th: 7:30 a.m. - 2:30 p.m.; Grades 6th & 7th: 7:30 a.m. - 5:30 p.m. ,Universal Free Breakfast,Universal Free Lunch,1:30 AM,K1-8,,,,
James Otis Elementary School,,North,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 PM,K1-5,A,,,
Parkway Academy of Technology and Health,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,,11:45 AM,9 - 12,,West Roxbury Education Complex,,
Michael J. Perkins Elementary School,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 p.m.,K2-5,A,,,
Oliver Hazard Perry K-8 School,,East,K-8,9:20 a.m - 3:20 p.m.,Universal Free Breakfast,,1:25 AM,K1-8,,,,
John D. Philbrick Elementary School,,West,Elementary,9:15 a.m. - 3:15 p.m. ,Universal Free Breakfast,,1:20 AM,K2-5,B,,,
Josiah Quincy Elementary School,,North,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 AM,K0-5,A,,,
Rev. Dr. Michael E. Haynes Early Education Center,,West,Early Childhood,7:30 a.m. - 5:00 p.m.,Universal Free Breakfast,,1:45 p.m.,K0-1,A,,,
William Barton Rogers Middle School,,East,Middle,7:20 a.m. - 1:30 p.m.,Universal Free Breakfast,,11:45 AM,6 - 8,,,,
Franklin D. Roosevelt K-8 School,,East,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 PM,K1-8,,,,
William E. Russell Elementary School,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 p.m.,K1-5,A,,,
Re-Engagement Center,,Citywide,High,9:00 a.m. - 5:00 p.m.,,,,9 - 12,,,,
Muriel Snowden International School at Copley,,Citywide,High,7:50 a.m. - 2:15 p.m.,,,11:45 a.m.,9 - 12,,,,
Social Justice Academy,,Citywide,High,7:45 a.m. - 2:05 p.m.,,,10:45 AM,9 - 12,,Hyde Park Education Complex,,
Charles Sumner Elementary School,,West,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 AM,K1-5,B,,,
Charles H. Taylor Elementary School,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 PM,K1-5,B,,,
TechBoston Academy,,East,Middle/High,"Grades 6-9: 8:30 a.m. - 3:30 p.m. (on alternate Wednesdays, 11:30 a.m.); Grades 10-12: 8:15 a.m. - 3:15 a.m. (on alternate Wednesdays, 11:30 a.m.)",,,11:30 a.m.,6 - 12,,,,
James P. Timilty Middle School,,Citywide,Middle,Mon-Thurs 7:35 a.m. - 4:15 p.m.; Fri 7:35 a.m. - 11:40 a.m.,Universal Free Breakfast,,2:15 AM,6 - 8,,,,
Maurice J. Tobin K-8 School ,13,North,K-8,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 AM,K2-8,,,,
William Monroe Trotter Elementary School,,West,Elementary,9:20 a.m. - 3:50 p.m.,Universal Free Breakfast,,1:35 p.m.,K2-5,A,,,
Joseph P. Tynan Elementary School,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 PM,K2-5,A,,,
Umana Middle School Academy,,North,Middle,7:20-3:35,Universal Free Breakfast,,2:15 AM,6 - 8,,,,
Urban Science Academy,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,,11:45 AM,9 - 12,,West Roxbury Education Complex,,
Warren/Prescott K-8 School,,North,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 PM,K2-8,,,,
West Zone Early Learning Center,,West,Early Childhood,7:30 a.m. - 4:45 p.m.,Universal Free Breakfast,,1:45 p.m.,K1-1,B,,,
F. Lyman Winship Elementary School,,North,Elementary,9:20 a.m - 3:20 p.m.,Universal Free Breakfast,,1:25 AM,K0-5,A,,,
John Winthrop Elementary School,,North,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 p.m.,K1-5,A,,,
Young Achievers Science and Mathematics Pilot K-8 School,,East,K-8,9:30 a.m. - 4:30 p.m.,Universal Free Breakfast,,1:45 AM,K1-8,,,,
Boston Teachers Union School,,West,K-8,8:30 a.m. - 3:00 p.m.,Universal Free Breakfast,,1:05 p.m.,"K1, K2, Grades 1, 2, 3, 6, 7",,,,
Roland Hayes School of Music,13,Citywide,High,7:25 a.m. - 1:45 p.m.,,,,9 - 12,,"Madison Park Complex",,
Newcomers Academy,,Citywide,High,8:30 a.m. - 2:30 p.m.,,,,9 - 12,,,,
Rafael Hernández K-8 School ,,,K-8,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 p.m.,K1-8,,,"a:1:{s:11:""description"";N;}","a:1:{s:11:""description"";N;}"
Brook Farm/Media High School,,Citywide,High,TBD,TBD,,TBD,9 - 12,,West Roxbury Education Complex,,
Boston Green Academy,3,Citywide,High,8:30 a.m. - 3:30 p.m.,,,,9 - 12,,,,
UP Academy Charter School of Boston,3,Citywide,Middle,8:00 a.m.–4:00 p.m. Monday–Thursday; 8:00 a.m.–1:30 p.m. Friday,,,,6 - 8,,,,
